36.0461315,-81.943298,Even 145
36.0244393,-81.9306626,Even 146
36.0640438,-81.9180305,Even 147
36.0788735,-81.9446512,Even 148
36.0881919,-81.9304395,Even 149
36.0869956,-81.9274288,Even 150
36.0873938,-81.9234425,Even 151
36.084839,-81.9281082,Even 152
36.0814037,-81.9102747,Even 153
36.1170696,-81.926194,Even 154
36.1436018,-81.9274321,Even 155
36.1812426,-81.9439154,Even 156
36.0005555,-81.8873722,Even 157
36.0453381,-81.9065486,Even 158
36.0490937,-81.9076184,Even 159
36.0453799,-81.9015909,Even 160
36.0469138,-81.8984682,Even 161
36.0479884,-81.8932042,Even 162
36.0400836,-81.9048663,Even 163
36.0422681,-81.9046137,Even 164
36.0390841,-81.89933,Even 165
36.03853,-81.8942248,Even 166
36.037138,-81.8994542,Even 167
36.0352308,-81.8853518,Even 168
36.0720684,-81.8900847,Even 169
36.0684179,-81.8901895,Even 170
36.0870387,-81.8964439,Even 171
36.1203159,-81.8787251,Even 172
36.148544,-81.9083386,Even 173
36.1852418,-81.884172,Even 174
36.0728361,-81.8762305,Even 175
36.0750865,-81.872144,Even 176
36.0695257,-81.8684148,Even 177
36.0620796,-81.8638359,Even 178
36.1041566,-81.8603434,Even 179
36.1051067,-81.8491018,Even 180
36.1316185,-81.8728909,Even 181
36.1316028,-81.8660845,Even 182
36.1286031,-81.8580397,Even 183
36.1326072,-81.845287,Even 184
36.1275423,-81.8570475,Even 185
36.1420636,-81.8585216,Even 186
36.1508697,-81.8562128,Even 187
36.1690789,-81.8604729,Even 188
36.1764649,-81.8715028,Even 189
36.1621096,-81.8706797,Even 190
36.1044657,-81.8409197,Even 191
36.1431386,-81.8293549,Even 192
36.1493553,-81.8246593,Even 193
36.1406921,-81.8327824,Even 194
36.0906643,-81.7837586,Even 195
36.0556104,-81.7582204,Even 196
36.2260313,-81.9198409,Even 197
36.2513516,-81.9342949,Even 198
36.2067633,-81.9074627,Even 199
36.2624131,-81.8972885,Even 200
